"Date","Country","Status","Color","Type","Value"
2022-07-03,"Oman","Confirmed","#D6604D","Total Count",390244
2022-07-03,"Oman","Confirmed","#D6604D","Count per 10K",881.907344632768
2022-07-03,"Oman","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Qatar","Confirmed","#D6604D","Total Count",383807
2022-07-03,"Qatar","Confirmed","#D6604D","Count per 10K",1493.41245136187
2022-07-03,"Qatar","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Bosnia and Herzegovina","Confirmed","#D6604D","Total Count",378797
2022-07-03,"Bosnia and Herzegovina","Confirmed","#D6604D","Count per 10K",1077.04577765141
2022-07-03,"Bosnia and Herzegovina","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Kenya","Confirmed","#D6604D","Total Count",334249
2022-07-03,"Kenya","Confirmed","#D6604D","Count per 10K",68.9713590029301
2022-07-03,"Kenya","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Zambia","Confirmed","#D6604D","Total Count",326259
2022-07-03,"Zambia","Confirmed","#D6604D","Count per 10K",196.648182749684
2022-07-03,"Zambia","Confirmed","#D6604D","New Cases per 10K",0.24230004219155
2022-07-03,"Botswana","Confirmed","#D6604D","Total Count",322769
2022-07-03,"Botswana","Confirmed","#D6604D","Count per 10K",1408.24171029668
2022-07-03,"Botswana","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"North Macedonia","Confirmed","#D6604D","Total Count",314211
2022-07-03,"North Macedonia","Confirmed","#D6604D","Count per 10K",1509.90389235944
2022-07-03,"North Macedonia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Albania","Confirmed","#D6604D","Total Count",282690
2022-07-03,"Albania","Confirmed","#D6604D","Count per 10K",966.131237183869
2022-07-03,"Albania","Confirmed","#D6604D","New Cases per 10K",1.87628161312372
2022-07-03,"Algeria","Confirmed","#D6604D","Total Count",266128
2022-07-03,"Algeria","Confirmed","#D6604D","Count per 10K",65.5390828941536
2022-07-03,"Algeria","Confirmed","#D6604D","New Cases per 10K",0.00320149731566764
2022-07-03,"Luxembourg","Confirmed","#D6604D","Total Count",264571
2022-07-03,"Luxembourg","Confirmed","#D6604D","Count per 10K",4593.24652777778
