Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Algeria,28.0339,1.6596,2020-05-20,7542
,Algeria,28.0339,1.6596,2020-05-19,7377
,Algeria,28.0339,1.6596,2020-05-18,7201
,Algeria,28.0339,1.6596,2020-05-17,7019
,Algeria,28.0339,1.6596,2020-05-16,6821
,Algeria,28.0339,1.6596,2020-05-15,6629
,Algeria,28.0339,1.6596,2020-05-14,6442
,Algeria,28.0339,1.6596,2020-05-13,6253
,Algeria,28.0339,1.6596,2020-05-12,6067
,Algeria,28.0339,1.6596,2020-05-11,5891
,Algeria,28.0339,1.6596,2020-05-10,5723
,Algeria,28.0339,1.6596,2020-05-09,5558
,Algeria,28.0339,1.6596,2020-05-08,5369
,Algeria,28.0339,1.6596,2020-05-07,5182
,Algeria,28.0339,1.6596,2020-05-06,4997
,Algeria,28.0339,1.6596,2020-05-05,4838
,Algeria,28.0339,1.6596,2020-05-04,4648
,Algeria,28.0339,1.6596,2020-05-03,4474
,Algeria,28.0339,1.6596,2020-05-02,4295
,Algeria,28.0339,1.6596,2020-05-01,4154
,Algeria,28.0339,1.6596,2020-04-30,4006
,Algeria,28.0339,1.6596,2020-04-29,3848
,Algeria,28.0339,1.6596,2020-04-28,3649
,Algeria,28.0339,1.6596,2020-04-27,3517
,Algeria,28.0339,1.6596,2020-04-26,3382
,Algeria,28.0339,1.6596,2020-04-25,3256
,Algeria,28.0339,1.6596,2020-04-24,3127
,Algeria,28.0339,1.6596,2020-04-23,3007
,Algeria,28.0339,1.6596,2020-04-22,2910
,Algeria,28.0339,1.6596,2020-04-21,2811
,Algeria,28.0339,1.6596,2020-04-20,2718
,Algeria,28.0339,1.6596,2020-04-19,2629
,Algeria,28.0339,1.6596,2020-04-18,2534
,Algeria,28.0339,1.6596,2020-04-17,2418
,Algeria,28.0339,1.6596,2020-04-16,2268
,Algeria,28.0339,1.6596,2020-04-15,2160
,Algeria,28.0339,1.6596,2020-04-14,2070
,Algeria,28.0339,1.6596,2020-04-13,1983
,Algeria,28.0339,1.6596,2020-04-12,1914
,Algeria,28.0339,1.6596,2020-04-11,1825
,Algeria,28.0339,1.6596,2020-04-10,1761
,Algeria,28.0339,1.6596,2020-04-09,1666
,Algeria,28.0339,1.6596,2020-04-08,1572
,Algeria,28.0339,1.6596,2020-04-07,1468
,Algeria,28.0339,1.6596,2020-04-06,1423
,Algeria,28.0339,1.6596,2020-04-05,1320
,Algeria,28.0339,1.6596,2020-04-04,1251
,Algeria,28.0339,1.6596,2020-04-03,1171
